Date,Description,Debit,Credit,Balance
2026-05-01,PAYROLL DEP - MAPLE ANALYTICS INC,,3950.00,4130.35
2026-05-01,E-TFR SENT - RENT (ROOMMATE),900.00,,3230.35
2026-05-01,PRESTO FARE CARD RELOAD,40.00,,3190.35
2026-05-02,TIM HORTONS #4471,6.85,,3183.50
2026-05-02,NETFLIX.COM,16.99,,3166.51
2026-05-03,GOODLIFE FITNESS MBR FEE,59.99,,3106.52
2026-05-03,ABM WITHDRAWAL - TD BANK,100.00,,3006.52
2026-05-03,LOBLAWS #331 GROCERY,64.22,,2942.30
2026-05-04,UBER EATS,28.40,,2913.90
2026-05-04,STARBUCKS,6.75,,2907.15
2026-05-05,SPOTIFY PREMIUM,11.99,,2895.16
2026-05-05,ROGERS WIRELESS - PREAUTH,68.50,,2826.66
2026-05-06,NO FRILLS GROCERY,41.10,,2785.56
2026-05-06,TTC/PRESTO,3.35,,2782.21
2026-05-07,LCBO STORE #212,32.00,,2750.21
2026-05-07,MCDONALD'S,11.20,,2739.01
2026-05-08,DISNEY PLUS,13.99,,2725.02
2026-05-08,AMAZON.CA PURCHASE,45.67,,2679.35
2026-05-09,ABM WITHDRAWAL - EXCHANGE BANK,60.00,,2619.35
2026-05-09,SHOPPERS DRUG MART,18.44,,2600.91
2026-05-10,UBER TRIP,14.30,,2586.61
2026-05-10,METRO GROCERY,52.80,,2533.81
2026-05-10,BEST BUY - HEADPHONES,189.99,,2343.82
2026-05-10,TICKETMASTER - CONCERT TIX,145.00,,2198.82
2026-05-11,LINKEDIN PREMIUM SUB,39.99,,2158.83
2026-05-11,TIM HORTONS #4471,5.15,,2153.68
2026-05-12,RESTAURANT - PAI THAI,48.60,,2105.08
2026-05-12,INTERAC E-TFR SENT - FRIEND,25.00,,2080.08
2026-05-12,BAR - THE ANNEX PUB,62.50,,2017.58
2026-05-13,CRAVE TV,19.99,,1997.59
2026-05-13,TTC/PRESTO,3.35,,1994.24
2026-05-14,STARBUCKS,7.10,,1987.14
2026-05-14,AMAZON PRIME MEMBERSHIP,9.99,,1977.15
2026-05-15,FRESHCO GROCERY,58.90,,1918.25
2026-05-15,ABM WITHDRAWAL - TD BANK,80.00,,1838.25
2026-05-15,VIA RAIL - WEEKEND TRIP,210.00,,1628.25
2026-05-16,HOTEL MONTREAL,180.00,,1448.25
2026-05-16,UBER EATS,33.75,,1414.50
2026-05-17,RESTAURANT - MONTREAL BISTRO,75.40,,1339.10
2026-05-17,CINEPLEX CINEMAS,24.50,,1314.60
2026-05-17,TIM HORTONS #4471,6.40,,1308.20
2026-05-18,LOBLAWS #331 GROCERY,71.35,,1236.85
2026-05-19,TTC/PRESTO,3.35,,1233.50
2026-05-19,H&M RETAIL,62.14,,1171.36
2026-05-19,ABM WITHDRAWAL - TD BANK,120.00,,1051.36
2026-05-20,MCDONALD'S,9.85,,1041.51
2026-05-20,NETFLIX.COM ADD-ON MEMBER,7.99,,1033.52
2026-05-21,RESTAURANT - PHO XE LUA,31.40,,1002.12
2026-05-21,ABM WITHDRAWAL - EXCHANGE BANK,100.00,,902.12
2026-05-22,METRO GROCERY,39.60,,862.52
2026-05-22,STARBUCKS,6.95,,855.57
2026-05-23,UBER TRIP,17.20,,838.37
2026-05-23,TTC/PRESTO,3.35,,835.02
2026-05-23,SPORTCHEK - RUNNING SHOES,129.99,,705.03
2026-05-24,AMAZON.CA PURCHASE,38.22,,666.81
2026-05-24,TIM HORTONS #4471,6.10,,660.71
2026-05-25,RESTAURANT - JOEY TORONTO,54.80,,605.91
2026-05-25,INTERAC E-TFR SENT - FRIEND,40.00,,565.91
2026-05-25,AMAZON.CA PURCHASE - GIFT,89.99,,475.92
2026-05-26,NO FRILLS GROCERY,45.15,,430.77
2026-05-26,TTC/PRESTO,3.35,,427.42
2026-05-27,UBER EATS,26.90,,400.52
2026-05-27,SHOPPERS DRUG MART,14.60,,385.92
2026-05-27,BAR - THE ANNEX PUB,54.20,,331.72
2026-05-28,STARBUCKS,7.25,,324.47
2026-05-28,LCBO STORE #212,28.50,,295.97
2026-05-28,ABM WITHDRAWAL - EXCHANGE BANK,100.00,,195.97
2026-05-29,RESTAURANT - PAI THAI,41.30,,154.67
2026-05-29,TIM HORTONS #4471,5.80,,148.87
2026-05-29,RESTAURANT - BIRTHDAY DINNER SPLIT,47.00,,101.87
2026-05-30,METRO GROCERY,33.75,,68.12
2026-05-30,TTC/PRESTO,3.35,,64.77
2026-05-31,CRAVE TV RENEWAL,19.99,,44.78
2026-05-31,OVERDRAFT HANDLING FEE,45.00,,-0.22
